N_Surface,Avg_total,SCN3,SCN4,SCN5,SCN6,SCN7,SCN8,SCN9,SCN10,FCC,HCP,ICOS
396,10.0977,0,0,84,72,0,24,120,24,443,0,0
398,10.0857,8,0,72,72,0,30,120,24,442,0,0
386,10.2533,0,6,0,120,12,48,104,48,459,0,0
353,10463,0,0,0,10,4,150,188,1,217,178,0
432,10.1776,0,0,48,24,168,0,0,48,424,0,0
434,10.1937,0,0,48,0,192,6,8,24,423,0,0
438,10.1763,0,0,54,0,192,0,0,48,418,0,0
396,10.3864,0,0,0,24,84,0,288,0,489,0,0
367,10.4532,0,0,0,22,80,70,170,25,360,150,0
402,10.3838,0,0,6,0,108,0,288,0,483,0,0
384,10.2895,0,0,0,96,48,144,24,0,514,0,0
392,10.2517,0,0,0,22,70,65,210,15,514,0,0
382,10.4525,8,0,0,96,48,144,0,24,365,150,0
362,10.6219,0,0,0,12,0,150,200,0,200,300,1
438,10.2655,0,0,54,48,72,48,72,48,490,0,0
434,10.2784,0,0,72,24,36,102,56,72,507,0,0
407,10.4545,0,0,0,22,70,50,250,15,380,150,0
397,10.4773,0,0,0,22,80,50,220,25,390,150,0
397,10.4603,0,0,0,22,70,85,210,10,385,165,0
382,10.4881,0,0,0,22,80,110,150,20,400,175,0
514,10.1135,4,0,0,54,36,64,356,0,419,0,0
384,10.3423,0,0,0,72,48,192,48,0,586,0,0
458,10.3193,0,0,0,13,46,129,210,4,507,0,0
402,10.4717,0,0,30,0,156,0,176,24,371,165,0
417,10.4729,0,0,0,22,80,40,250,25,400,150,0
392,10.3067,8,0,0,72,48,192,24,24,586,0,0
444,10.2787,0,0,24,120,60,48,48,24,539,0,0
446,10.2683,8,0,24,120,48,30,72,24,538,0,0
450,10.2649,0,6,24,120,60,24,72,24,539,0,0
387,10.5161,0,0,0,12,0,175,200,0,210,240,0
432,10.44,0,0,0,48,120,24,168,0,568,0,0
402,10.5099,0,0,0,22,90,80,180,30,425,170,0
434,10.4008,0,0,0,72,132,6,104,72,579,0,0
432,10.4724,0,0,0,22,70,60,270,10,410,165,0
438,10.3573,0,0,30,72,72,48,96,96,586,0,0
447,10.4662,0,0,0,22,70,70,280,5,420,175,0
486,10.3605,0,0,48,0,168,6,120,24,568,0,0
468,10.3507,0,0,24,72,132,72,0,24,587,0,0
452,10.4524,0,0,10,2,80,80,280,0,420,180,0
422,10.5455,0,0,0,22,80,80,220,20,460,175,0
432,10.5224,0,0,0,24,96,24,288,0,640,0,0
437,10.5392,0,0,0,22,90,55,240,30,465,170,0
417,10.6473,0,0,0,12,20,140,210,35,245,300,0
502,10405,0,0,5,2,65,150,280,0,385,175,0
506,10.4072,0,0,30,0,228,0,80,24,603,0,0
504,10.3929,0,0,24,48,192,24,24,24,616,0,0
462,10.5378,0,0,0,22,90,40,280,30,480,170,0
452,10.5608,0,0,0,22,80,60,270,20,490,175,0
512,10.3617,8,0,24,48,192,24,0,48,616,0,0
437,10.5545,0,0,0,22,100,90,190,35,490,190,0
438,10554,0,0,2,20,79,108,214,13,484,195,0
423,10.5914,0,0,0,10,28,151,225,9,360,206,0
428,10.5356,0,0,0,24,108,96,200,0,711,0,0
486,10.4348,0,6,0,120,48,48,144,48,664,0,0
442,10.6094,0,0,0,12,0,160,270,0,420,195,0
486,10.5156,0,0,6,0,120,0,360,0,664,0,0
472,10.5549,0,0,0,22,80,50,300,20,500,175,0
542,10342,8,0,48,0,240,6,0,48,616,0,0
546,10.3491,0,0,54,0,252,0,0,48,611,0,0
492,10.4361,0,6,12,108,54,60,114,66,682,0,0
512,10.36,0,0,24,192,0,24,128,24,688,0,0
522,10.3369,0,0,48,168,0,30,120,24,683,0,0
477,10.5874,0,0,0,22,100,60,260,35,540,190,0
477,10.5908,0,0,0,22,80,80,280,15,540,195,0
462,10614,0,0,0,22,90,95,230,25,555,200,0
452,10.7232,0,0,0,12,20,150,240,30,280,365,0
492,10.4892,0,0,0,96,96,144,48,0,755,0,0
507,10.5879,0,0,0,22,100,40,310,35,560,190,0
546,10.4327,0,0,24,96,96,144,0,24,719,0,0
516,10.4422,0,0,66,48,72,96,96,48,755,0,0
507,10.5912,0,0,0,22,80,60,330,15,560,195,0
457,10.6797,0,0,0,12,0,180,225,40,355,250,0
558,10.4671,0,0,30,0,192,0,216,24,712,0,0
542,10.4413,8,0,48,72,48,102,72,96,736,0,0
497,10.5967,0,0,0,12,25,178,280,2,516,210,0
497,10.6376,0,0,0,22,90,70,290,25,600,200,0
650,10.2947,4,0,0,48,54,96,448,0,626,0,0
482,10.6587,0,0,0,12,13,186,254,17,487,219,0
532,10.5976,0,0,0,22,80,70,350,10,590,210,0
522,10.6386,0,0,0,22,90,55,330,25,620,200,0
517,10.6554,0,0,0,22,90,75,280,50,613,210,0
537,10.6293,0,0,0,22,90,50,350,25,625,200,0
547,10.5897,0,0,0,22,80,80,360,5,600,220,0
594,10.4946,0,0,48,0,216,6,144,24,785,0,0
524,10.6397,0,0,0,24,108,24,368,0,861,0,0
552,10.5782,0,0,10,2,90,90,360,0,600,225,0
502,10.6667,0,0,0,22,100,110,240,30,650,225,0
546,10.5334,0,0,6,120,84,48,144,96,839,0,0
546,10.5311,0,0,12,108,96,48,132,108,845,0,0
492,10.5716,0,0,0,48,96,216,120,0,911,0,0
552,10.6276,0,0,0,22,110,40,340,40,640,210,0
492,10.8042,0,0,0,12,0,180,300,0,400,450,1
584,10.5085,0,0,24,72,192,72,8,24,832,0,0
576,10.4068,0,0,96,120,0,48,168,24,840,0,0
582,10.3966,0,6,96,120,0,24,192,24,840,0,0
585,10.3958,0,3,102,114,6,24,186,30,840,0,0
522,10.6751,0,0,0,22,90,100,290,20,670,225,0
607,10.5354,0,0,5,2,70,170,360,0,560,220,0
614,10.5207,8,0,30,0,264,0,96,48,832,0,0
572,10.6302,0,0,0,24,108,0,440,0,891,0,0
578,10.6276,0,0,6,0,132,0,440,0,885,0,0
517,10752,0,0,0,12,20,160,280,45,400,375,0
542,10.6958,0,0,0,22,100,80,310,30,710,225,0
636,10497,0,0,0,22,90,100,310,15,857,0,0
537,10.6993,0,0,48,48,240,24,0,48,700,245,0
540,10535,0,0,0,96,72,264,48,0,959,0,0
557,10688,0,0,0,22,90,75,350,20,710,225,0
528,10.6755,0,0,0,24,120,96,288,0,976,0,0
543,10.6993,0,0,0,12,10,193,325,3,582,265,0
522,10.7147,0,0,0,12,41,162,300,7,593,248,0
666,10.4793,0,0,72,0,288,6,0,48,857,0,0
662,10.4961,0,0,54,0,312,0,8,48,856,0,0
594,10.5694,0,6,24,120,36,96,144,96,941,0,0
608,10.5525,0,0,0,168,72,48,128,96,934,0,0
582,10.6831,0,0,0,22,90,60,390,20,725,225,0
572,10.7011,0,0,0,22,100,60,360,30,740,225,0
542,10.7084,0,0,0,22,110,125,250,35,745,250,0
597,10.6598,0,0,0,22,120,40,370,45,720,230,0
592,10.6941,0,0,0,22,100,50,390,30,750,225,0
582,10.7034,0,0,0,22,90,95,360,15,760,245,0
644,10523,8,0,24,192,60,24,120,48,989,0,0
567,10.7381,0,0,0,22,100,120,300,25,800,255,0
666,10.5925,0,0,30,0,228,0,264,24,965,0,0
654,10.5201,0,0,48,168,72,30,120,24,984,0,0
597,10.7124,0,0,0,22,42,158,364,11,746,260,0
624,10.6796,0,0,0,48,168,24,288,0,1030,0,0
608,10.6377,0,0,0,96,144,144,80,0,1048,0,0
617,10.7021,0,0,0,22,90,70,420,15,785,245,0
557,10.7277,0,0,0,22,110,185,210,30,805,285,0
603,10.6987,0,0,2,10,13,216,361,0,712,260,0
587,10.7413,0,0,0,22,110,90,330,35,820,250,0
666,10.5777,0,0,72,72,84,102,96,96,1013,0,0
662,10.5745,0,0,78,72,48,144,104,96,1024,0,0
562,10.7611,0,0,0,11,30,193,309,19,630,294,0
648,10.6432,0,0,24,63,184,101,57,40,1038,0,0
582,10762,0,0,0,22,100,137,296,27,840,280,0
636,10.6822,0,0,0,72,180,72,168,0,1085,0,0
642,10.7025,0,0,0,22,90,80,440,10,815,260,0
607,10.7589,0,0,0,22,100,90,370,25,860,255,0
587,10.7671,0,0,0,12,26,193,335,21,720,278,0
622,10.7496,0,0,0,22,110,65,390,35,860,250,0
661,10.6877,0,5,1,34,49,124,428,9,798,260,0
624,10.7383,0,0,0,24,120,24,456,0,1126,0,0
657,10.6943,0,0,0,22,90,90,450,5,825,270,0
710,10.6122,0,0,48,0,264,6,176,24,1054,0,0
802,10.4393,4,0,0,47,67,126,558,0,902,0,0
662,10.7095,0,0,0,12,66,134,450,0,825,275,0
647,10744,0,0,0,22,110,50,430,35,875,250,0
637,10.7614,0,0,0,22,100,70,420,25,890,255,0
662,10.6689,0,0,6,120,120,48,200,96,1144,0,0
666,10.6374,0,0,24,120,120,54,144,144,1157,0,0
657,10.7544,0,0,0,22,100,60,450,25,900,255,0
672,10.7265,0,0,0,24,120,0,528,0,1156,0,0
722,10.6241,0,0,5,2,75,210,430,0,780,270,0
678,10.7241,0,0,6,0,144,0,528,0,1150,0,0
612,10787,0,0,0,22,110,140,310,30,930,285,0
716,10.6176,8,0,24,72,252,72,0,48,1133,0,0
632,10.7888,0,0,0,22,120,80,370,40,930,275,0
632,10.7799,0,0,0,22,100,120,370,20,930,280,0
608,10.7679,0,0,0,21,143,163,281,0,1288,0,0
758,10.6415,0,0,48,0,336,6,80,24,1150,0,0
647,10.8088,0,0,0,22,98,100,408,19,958,300,0
716,10.5945,0,0,24,264,0,48,176,24,1205,0,0
636,10.7844,0,0,0,24,132,96,384,0,1289,0,0
768,10.6168,0,0,48,48,312,24,0,48,1158,0,0
726,10.5794,0,0,48,240,0,54,168,24,1200,0,0
722,10.5864,0,6,24,264,0,24,200,24,1205,0,0
627,10.7969,0,0,0,22,110,186,284,25,980,315,0
653,10.8045,0,0,0,12,9,209,420,3,803,341,0
672,10.7883,0,0,0,22,120,70,420,40,980,275,0
672,10.7901,0,0,0,22,100,90,440,20,980,280,0
672,10679,0,0,0,120,120,240,48,0,1272,0,0
725,10.6029,0,6,18,246,30,45,170,30,1229,0,0
798,10.6012,0,0,72,0,360,6,0,48,1158,0,0
794,10.6019,8,0,54,0,372,0,0,72,1157,0,0
657,10.8132,0,0,0,22,110,105,390,30,1010,285,0
632,10.8489,0,0,0,12,43,195,349,33,900,310,0
693,10.7063,0,0,21,91,148,133,113,40,1260,1,0
